Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121036-89675,RB,Jonathan,Jonathan Taylor,Taylor,22.299999237060547,4,9500,LV@IND,IND,LV,,,,,,RB/FLEX
121036-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,20.975000381469727,4,9300,DET@CIN,DET,CIN,,,,,,WR/FLEX
121036-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,17.25,4,9000,DET@CIN,DET,CIN,,,,,,RB/FLEX
121036-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,14.166666666666666,3,9000,DET@CIN,CIN,DET,,,,,,WR/FLEX
121036-63115,QB,Lamar,Lamar Jackson,Jackson,23.59000015258789,4,8800,HOU@BAL,BAL,HOU,Q,Hamstring,,,,QB
121036-69531,QB,Jalen,Jalen Hurts,Hurts,21.065000534057617,4,8600,DEN@PHI,PHI,DEN,,,,,,QB
121036-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,16.075000762939453,4,8500,TB@SEA,SEA,TB,,,,,,WR/FLEX
121036-64401,RB,Saquon,Saquon Barkley,Barkley,13.925000190734863,4,8500,DEN@PHI,PHI,DEN,,,,,,RB/FLEX
121036-39280,RB,Derrick,Derrick Henry,Henry,12.75,4,8400,HOU@BAL,BAL,HOU,,,,,,RB/FLEX
121036-102785,QB,Jayden,Jayden Daniels,Daniels,19.90999984741211,2,8300,WAS@LAC,WAS,LAC,Q,Knee,,,,QB
121036-91419,WR,Nico,Nico Collins,Collins,12,4,8100,HOU@BAL,HOU,BAL,,,,,,WR/FLEX
121036-138820,RB,De'Von,De'Von Achane,Achane,16.599999745686848,3,8100,MIA@CAR,MIA,CAR,,,,,,RB/FLEX
121036-69189,QB,Justin,Justin Herbert,Herbert,20.704999923706055,4,8000,WAS@LAC,LAC,WAS,,,,,,QB
121036-86631,WR,CeeDee,CeeDee Lamb,Lamb,18.100000381469727,2,8000,DAL@NYJ,DAL,NYJ,O,Ankle,,,,WR/FLEX
121036-41535,QB,Baker,Baker Mayfield,Mayfield,20.014999389648438,4,7900,TB@SEA,TB,SEA,,,,,,QB
121036-103564,WR,Garrett,Garrett Wilson,Wilson,15.133333841959635,3,7800,DAL@NYJ,NYJ,DAL,,,,,,WR/FLEX
121036-38435,QB,Jared,Jared Goff,Goff,18.815000534057617,4,7800,DET@CIN,DET,CIN,,,,,,QB
121036-91591,QB,Justin,Justin Fields,Fields,16.75,2,7700,DAL@NYJ,NYJ,DAL,,,,,,QB
121036-152655,WR,Emeka,Emeka Egbuka,Egbuka,16.274999618530273,4,7600,TB@SEA,TB,SEA,,,,,,WR/FLEX
121036-152664,RB,Bucky,Bucky Irving,Irving,16.375,4,7600,TB@SEA,TB,SEA,Q,Undisclosed,,,,RB/FLEX
121036-174215,RB,Omarion,Omarion Hampton,Hampton,15,4,7500,WAS@LAC,LAC,WAS,,,,,,RB/FLEX
121036-120639,WR,Quentin,Quentin Johnston,Johnston,17.125,4,7500,WAS@LAC,LAC,WAS,,,,,,WR/FLEX
121036-63484,QB,Kyler,Kyler Murray,Murray,16.3700008392334,4,7500,TEN@ARI,ARI,TEN,,,,,,QB
121036-63519,QB,Daniel,Daniel Jones,Jones,20.8799991607666,4,7400,LV@IND,IND,LV,,,,,,QB
121036-57403,WR,Courtland,Courtland Sutton,Sutton,13.333333333333334,3,7400,DEN@PHI,DEN,PHI,,,,,,WR/FLEX
121036-89493,RB,Chase,Chase Brown,Brown,7.866666793823242,3,7400,DET@CIN,CIN,DET,,,,,,RB/FLEX
121036-42104,RB,Alvin,Alvin Kamara,Kamara,10.25,4,7300,NYG@NO,NO,NYG,,,,,,RB/FLEX
121036-53681,WR,Tyreek,Tyreek Hill,Hill,12.09999974568685,3,7300,MIA@CAR,MIA,CAR,,,,,,WR/FLEX
121036-31716,QB,Dak,Dak Prescott,Prescott,20.489999771118164,4,7300,DAL@NYJ,DAL,NYJ,,,,,,QB
121036-63589,QB,Sam,Sam Darnold,Darnold,14,4,7200,TB@SEA,SEA,TB,,,,,,QB
121036-167031,RB,Ashton,Ashton Jeanty,Jeanty,14.675000190734863,4,7200,LV@IND,LV,IND,,,,,,RB/FLEX
121036-112295,WR,Zay,Zay Flowers,Flowers,13.050000190734863,4,7200,HOU@BAL,BAL,HOU,,,,,,WR/FLEX
121036-102965,QB,Bo,Bo Nix,Nix,14.5,3,7100,DEN@PHI,DEN,PHI,,,,,,QB
121036-110246,WR,George,George Pickens,Pickens,16.875,4,7100,DAL@NYJ,DAL,NYJ,,,,,,WR/FLEX
